pid,label_date,missing_days,missing_ratio
INS-W_320,2019-06-02,0,0.0
INS-W_320,2019-06-09,0,0.0
INS-W_320,2019-06-11,0,0.0
INS-W_348,2019-06-02,0,0.0
INS-W_348,2019-06-09,0,0.0
INS-W_348,2019-06-14,0,0.0
INS-W_356,2019-06-02,0,0.0
INS-W_356,2019-06-09,0,0.0
INS-W_356,2019-06-14,0,0.0
INS-W_430,2019-06-02,0,0.0
INS-W_430,2019-06-09,0,0.0
INS-W_430,2019-06-13,0,0.0
INS-W_439,2019-06-02,0,0.0
INS-W_439,2019-06-09,0,0.0
INS-W_439,2019-06-13,0,0.0
INS-W_442,2019-06-02,0,0.0
INS-W_442,2019-06-09,0,0.0
INS-W_442,2019-06-10,0,0.0
INS-W_445,2019-06-02,0,0.0
INS-W_445,2019-06-09,0,0.0
INS-W_445,2019-06-13,0,0.0
INS-W_465,2019-06-02,0,0.0
INS-W_465,2019-06-09,0,0.0
INS-W_465,2019-06-19,0,0.0
INS-W_469,2019-06-02,0,0.0
INS-W_469,2019-06-09,0,0.0
INS-W_469,2019-06-13,0,0.0
INS-W_475,2019-06-02,0,0.0
INS-W_475,2019-06-09,0,0.0
INS-W_475,2019-06-12,0,0.0
