pid,label_date,missing_days,missing_ratio
INS-W_607,2020-05-24,0,0.0
INS-W_607,2020-05-31,0,0.0
INS-W_607,2020-06-07,0,0.0
INS-W_617,2020-05-24,0,0.0
INS-W_617,2020-05-31,0,0.0
INS-W_617,2020-06-10,0,0.0
INS-W_620,2020-05-10,0,0.0
INS-W_620,2020-05-30,0,0.0
INS-W_620,2020-06-12,0,0.0
INS-W_647,2020-05-24,0,0.0
INS-W_647,2020-05-31,0,0.0
INS-W_647,2020-06-13,0,0.0
INS-W_649,2020-05-24,0,0.0
INS-W_649,2020-05-31,0,0.0
INS-W_649,2020-06-13,0,0.0
INS-W_659,2020-05-24,0,0.0
INS-W_659,2020-05-31,0,0.0
INS-W_659,2020-06-08,0,0.0
INS-W_665,2020-05-24,0,0.0
INS-W_665,2020-05-31,0,0.0
INS-W_665,2020-06-11,0,0.0
INS-W_705,2020-05-24,0,0.0
INS-W_705,2020-05-31,0,0.0
INS-W_705,2020-06-12,0,0.0
INS-W_713,2020-05-24,0,0.0
INS-W_713,2020-05-31,0,0.0
INS-W_713,2020-06-08,0,0.0
INS-W_718,2020-05-24,0,0.0
INS-W_718,2020-05-31,0,0.0
INS-W_718,2020-06-14,0,0.0
